"Movie","Playdate","Playtime","Play_month","Weekdays","Rep_Nationality","Grade","Rep_production","Rep_distributor","Rep_genre","Rep_director","Rep_actor1","Rep_actor2","Rep_actor3","Rep_actor4","Rep_actor5","Critic_star","Naver_star_before_play","Naver_participants_before_play","Naver_expect_index_wannasee","Naver_expect_index_notreally","Watcha_star","Watcha_participants","Watcha_expect_index_wannasee","Watcha_comments","Week1_playdays","Week1_holiday","Week1_sales","Week1_sales_share","Week1_audience","Week1_screen","Week1_screening","Week2_isplay","Week2_holiday","Week2_sales","Week2_sales_share","Week2_audience","Week2_screen","Week2_screening","Week3_holiday","Week4_holiday","Week2_Cum_audience","Week3_Cum_audience","Week4_Cum_audience","Week5_Cum_audience"
"어떤살인","2015-10-28",107,10,"수요일","한국","청소년관람불가","(주)전망좋은 영화사","TCO(주)더콘텐츠온","스릴러","안용훈","윤소이","신현빈","김혁","고용진","최춘범",4,9,89,758,151,2.7,1198,260,155,8,2,131385300,0.006,16470,348,2533,1,2,2168500,0,259,5,26,2,2,16729,16729,16729,16729
"스윗 프랑세즈","2015-12-03",107,12,"목요일","독일/영국/프랑스","15세이상관람가",NA,"그린나래미디어(주)","멜로/로맨스","사울 딥","미쉘 윌리엄스","마티아스 쇼에나에츠",NA,NA,NA,6,9,167,555,40,3.7,6180,10945,448,7,2,93583800,0.004,12585,94,1068,1,2,19544500,0.001,2578,17,134,2,3,15163,16060,16531,16664
"극장판 또봇: 로봇군단의 습격","2017-04-27",80,4,"목요일","한국","전체관람가","레트로봇 주식회사","씨제이이앤엠(주)","애니메이션","이달","하룡이","신경선","이현",NA,NA,6,10,214,1281,122,3.9,140,37,19,7,3,663112100,0.019,85958,231,2305,1,4,354856700,0.007,46470,182,1163,2,2,132428,138182,138998,139264
"나쁜 나라","2015-12-03",120,12,"목요일","한국","12세이상관람가","4.16 세월호 참사 시민기록위원회","<나쁜 나라> 배급위원회","다큐멘터리","김진열","최경덕","박지민",NA,NA,NA,7,4,1876,11088,6183,3.6,1820,2048,272,7,2,29560000,0.001,4241,19,181,1,2,26559000,0.001,3847,23,182,2,3,8088,12287,15461,16426
"마돈나","2015-07-02",120,7,"목요일","한국","청소년관람불가","준필름","(주)리틀빅픽쳐스","드라마","신수원","서영희","권소현","김영민","변요한","박지영",7,9,91,1267,235,3.2,4308,2933,489,7,2,94661300,0.003,12234,65,990,1,2,24396400,0.001,3031,38,286,2,2,15265,15936,16161,16286
"은하철도의 꿈","2015-04-09",102,4,"목요일","일본/중국","전체관람가",NA,"(주)영화사오원","애니메이션","니시쿠보 미즈호","요코야마 코타","이치무라 마사치카","나카마 유키에",NA,NA,6,8,37,139,34,2.7,140,114,29,7,2,24577900,0.001,3360,85,424,1,2,3337100,0,475,15,40,2,3,3835,4016,4016,4016
"피아니스트 세이모어의 뉴욕 소네트","2016-04-07",84,4,"목요일","미국/캐나다/호주","전체관람가",NA,"(주)영화사 진진","다큐멘터리","에단 호크",NA,NA,NA,NA,NA,7,9,34,287,4,3.8,2275,3945,259,7,3,19913600,0.001,2460,18,146,1,2,19091200,0.001,2451,12,89,2,2,4911,9118,12692,15883
"미라클 프롬 헤븐","2016-05-25",109,5,"수요일","미국/캐나다/호주","전체관람가",NA,"유니버설픽쳐스인터내셔널 코리아(유)","드라마","패트리시아 리건","제니퍼 가너","마틴 헨더슨","카일리 로저스",NA,NA,5,10,57,284,21,3.3,588,303,56,8,2,57474000,0.002,8378,171,1073,1,3,36583500,0.001,5202,61,487,2,2,13580,15340,15760,15812
"新극장판 이니셜D: 레전드3 -몽현-","2016-08-25",66,8,"목요일","일본/중국","12세이상관람가",NA,"씨제이이앤엠(주)","애니메이션","히다카 마사미츠",NA,NA,NA,NA,NA,NA,9,72,452,20,3.1,137,32,26,7,2,39978300,0.001,4516,55,762,1,2,3436000,0,386,12,74,3,4,4902,5224,5224,5224
"십계: 구원의 길","2017-04-13",120,4,"목요일","기타","전체관람가",NA,"씨네그루(주)키다리이엔티","드라마","알렉상드르 아반치니","길례르미 윈터","세르지오 마로네","카밀라 로드리게즈","지젤 이티에",NA,3,6,31,277,37,2.2,35,27,7,7,2,68629500,0.003,10142,97,1035,1,2,24166500,0.001,3680,64,399,3,4,13822,15129,15777,15787
